id,name,type,kosher,rest_price_level,city,address
37397940,סנדוויץ' בר כרמל,סנדוויץ' בר,FALSE,1,חיפה,שד' הנשיא 128
80071441,צ'רלי בר,פאבים וברים,FALSE,,חיפה,שער הלבנון 2
7232390,מאפית גדעון,קונדיטוריה ומאפיות,FALSE,,חיפה,אליהו 4
80330329,הג'חנון של מורן,מטבח ביתי,FALSE,,חיפה,האג 17
80358710,באבוליני Babulini,,FALSE,,חיפה,ניסנבוים 13
80157655,ששון-הבר באחוזה,פאבים וברים,FALSE,2,חיפה,חורב 10
367310,פרג',חומוסייה,FALSE,,חיפה,שד' המגינים 29
38235310,שווארמה חאזן פורד,מסעדת בשרים,FALSE,1,חיפה,פלימן משה 4
80176499,קפה זום,בתי קפה,FALSE,,חיפה,מסדה 22
80216921,ubhan - the pint,פאבים וברים,FALSE,2,חיפה,מצדה 8
80288972,פאפוס שקשוקה בפיתה,,TRUE,,חיפה,הרצל 42
40889690,בורקס העגלה חיפה,,FALSE,1,חיפה,חלוצי התעשייה 2
7194760,הפינה של אריק,אוכל רחוב,TRUE,,חיפה,החלוץ 32
80324252,פלאפל אוריון חיפה,חומוסייה,FALSE,,חיפה,הרצליה 14
80348009,ARIS,,FALSE,,חיפה,האיצטדיון 21
80279948,דומינו'ס פיצה,פיצריות,FALSE,,חיפה,שד' הנשיא 119
80327142,כריכי ויקטור,,FALSE,,חיפה,השרון 12
80183848,שווארמה סבאח,אוכל רחוב,FALSE,1,חיפה,דרך אלנבי 37
80347851,piano piano,מסעדה איטלקית,FALSE,,חיפה,חיפה
80227254,פלפלת פנורמה,בתי קפה,TRUE,1,חיפה,שדרות הנשיא טרומן 107
314680,שווארמה חאזן פורד,מסעדת בשרים,FALSE,1,חיפה,דרך יפו 140
80265335,ג'אפן ג'אפן - JAPAN JAPAN,מסעדה אסייאתית,TRUE,,חיפה,שד' ההסתדרות 271
80358880,סאש בורגר,,FALSE,,חיפה,נתנזון 9
80299637,זמן קפה,בתי קפה,FALSE,1,חיפה,הרצל 18
80136018,מורגן-פאב אירי,פאבים וברים,FALSE,,חיפה,בהרב יקותיאל 3
80304230,מאפיית שילת,קונדיטוריה ומאפיות,FALSE,1,חיפה,חניתה 30
80242708,cofix,בתי קפה,TRUE,1,חיפה,דרך הים 3
80358725,מיט מאסטר,מסעדת בשרים,FALSE,,חיפה,חלוצי התעשייה 6
80368809,נרדינה,מסעדה מזרחית,FALSE,,חיפה,חיפה
80282962,מימינו,מסעדה גרוזינית,FALSE,1,חיפה,המשטרה 5
80150704,מסעדת רם,מסעדת בשרים,TRUE,1,חיפה,האיצטדיון 6
30234620,קיוסקפה,בתי קפה,FALSE,,חיפה,שלום עליכם 3
80354972,לחם ארז,בתי קפה,FALSE,,חיפה,יוחאי בן נון
80173098,בורגראנץ',מסעדת המבורגרים,TRUE,1,חיפה,חיפה
80256243,ורד ברוקמן - קייטרינג מוסקט,קייטרינג,FALSE,,חיפה,חיפה
80355111,wokstreet,,FALSE,,חיפה,העליה השניה 8
37772650,ראני,מסעדה מזרחית,FALSE,1,חיפה,שרה 3
80268891,פלאפל מישל,אוכל רחוב,FALSE,,חיפה,דרך יפו 39
80354253,מנגל,,FALSE,,חיפה,שד' מוריה 54
80298447,A&M BURGERS,מסעדת בשרים,FALSE,1,חיפה,הנביאים 35
80338779,Cinemaparadiso,,FALSE,,חיפה,דוד אלעזר 8
80313743,איטליאנו פיצה מרקט,פיצריות,FALSE,,חיפה,דרך העצמאות 80
80349737,FBF,,FALSE,,חיפה,דרך העצמאות 94
80338829,קפה דרך הים,בתי קפה,FALSE,,חיפה,דרך הים 68
80334381,לואיזה - luissa,מטבח ביתי,FALSE,,חיפה,שדרות הנשיא טרומן 119
