dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup,place_id,name,rating,price_level,user_ratings_total,website,city,street,street_number,full_address,geo_location,sunday_activity_hours,monday_activity_hours,tuesday_activity_hours,wednesday_activity_hours,thursday_activity_hours,friday_activity_hours,saturday_activity_hours,open_activity_hour,close_activity_hour,open_on_saturday
True,,True,True,True,True,True,True,,True,True,True,,ChIJ-RMgg2S7HRURnzDIyFJD2z0,המקום של אליהו,3.9,2.0,1188,True,חיפה,דוד אלעזר,6,"דוד אלעזר 6, חיפה","{'lat': 32.79861429999999, 'lng': 34.9564911}","[545, 1320]","[545, 1320]","[545, 1320]","[545, 1320]","[545, 1320]","[545, 1440]","[545, 1440]",545.0,1320.0,True
True,False,True,True,True,True,True,True,True,True,True,True,,ChIJEz3FCmS7HRURDqYZHAMnl50,קפה קפה,3.1,2.0,2269,True,חיפה,,,"טיילת חוף דדו, חיפה","{'lat': 32.79713810000001, 'lng': 34.9564362}","[540, 1140]","[540, 1140]","[540, 1140]","[540, 1140]","[540, 1140]","[540, 1140]","[540, 1140]",540.0,1140.0,True
True,,True,True,,,True,True,,True,True,True,,ChIJe-sX1gm7HRURLPX9MCB4xGg,Cinema paradiso,3.4,2.0,532,True,חיפה,,,"חוף זמיר, חיפה","{'lat': 32.7971335, 'lng': 34.9564031}","[1020, 1380]","[1020, 1380]","[1020, 1380]","[1020, 1380]","[1020, 1380]","[600, 1440]","[600, 1440]",1020.0,1380.0,True
True,,True,,,,True,True,,,True,,,ChIJd-owDQS7HRUResnQtNZyAVY,מסעדת Mazat,2.6,,17,False,חיפה,,,חיפה,"{'lat': 32.7970281, 'lng': 34.9562689}","[660, 1350]","[660, 1350]","[660, 1350]","[660, 1350]","[660, 1350]","[660, 1350]","[660, 1350]",660.0,1350.0,True
True,,,,,,,True,,,True,,,ChIJ3VG448u7HRURKD5J0dhJ-e0,Good Bagutteג'וד בגט,5.0,,1,True,חיפה,עודה נדה,1,"עודה נדה 1, חיפה","{'lat': 32.8048941, 'lng': 34.9734614}","[480, 1320]","[480, 1320]","[480, 1320]","[480, 1320]","[480, 1320]","[480, 1320]","[780, 1140]",480.0,1320.0,True
True,True,,,,,,,,,True,,,ChIJcT4_FaG7HRURWqb1EZ-FwTM,פיצה טרמינל,4.5,,110,True,חיפה,אילנות,1,"אילנות 1, חיפה","{'lat': 32.8075778, 'lng': 34.9759988}","[720, 1350]","[720, 1350]","[720, 1350]","[720, 1350]","[720, 1350]","[-1, -1]","[1200, 1350]",720.0,1350.0,False
True,,True,True,,,True,True,,True,True,True,,ChIJcQU7TWG7HRURBNrpB7BhHIk,אצל יוסי,3.9,,235,True,חיפה,David Elazar St.,,"David Elazar St., חיפה","{'lat': 32.7952116, 'lng': 34.95615069999999}","[660, 1710]","[660, 1350]","[660, 1350]","[660, 1350]","[660, 1350]","[660, 1350]","[660, 1350]",660.0,1422.0,True
True,False,True,True,True,True,True,True,True,True,True,True,,ChIJP5fJPMK7HRURmytHoHgOtdE,החבית,4.1,2.0,1534,True,חיפה,דוד אלעזר,5,"דוד אלעזר 5, חיפה","{'lat': 32.794135, 'lng': 34.9562265}","[540, 1380]","[600, 720]","[540, 1380]","[540, 1380]","[540, 1380]","[540, 1380]","[540, 1380]",552.0,1248.0,True
True,True,,False,,,True,True,True,False,True,True,,ChIJ_YHw_vi7HRURVgYLzFm4a6g,השניצליה,2.8,,15,True,חיפה,,,"תחנה מרכזית חוף הכרמל, חיפה","{'lat': 32.7937264, 'lng': 34.95818060000001}","[600, 1260]","[600, 1260]","[600, 1260]","[600, 1260]","[600, 1260]","[600, 870]","[-1, -1]",600.0,1260.0,False
True,True,True,True,True,True,True,True,,True,True,True,,ChIJ7yFS_mMPHRURAqs0L3Neags,Shaltieli - שאלתיאלי,4.2,2.0,1930,False,חיפה,יוחאי בן נון,6,"יוחאי בן נון 6, חיפה","{'lat': 32.7933492, 'lng': 34.95614899999999}","[600, 1470]","[600, 1470]","[600, 1470]","[600, 1470]","[600, 1500]","[600, 870]","[1110, 1530]",600.0,1476.0,False
