place_id,geo_location,type
ChIJV-ajKQmlHRURglNR2OjO1YM,"{'lat': 32.7605838, 'lng': 34.9637954}",restaurant
ChIJe8GkEM-lHRURdOXsM2T9YHc,"{'lat': 32.76061180000001, 'lng': 34.96359040000001}",restaurant
ChIJb2a-w7qlHRURv0kfLTrbwvk,"{'lat': 32.7605909, 'lng': 34.9636875}",restaurant
ChIJWwM4h7WkHRURtkGlEAfrCDE,"{'lat': 32.7631256, 'lng': 34.9726653}",restaurant
ChIJGzD5PrCkHRURnIN7QDrJKag,"{'lat': 32.76058389999999, 'lng': 34.9635904}",restaurant
ChIJh5_AwuSlHRURIzYJhviFk4g,"{'lat': 32.760643, 'lng': 34.9629936}",restaurant
ChIJg2bah7WkHRUR_x6-7sNWeS4,"{'lat': 32.7628873, 'lng': 34.972584499999996}",restaurant
ChIJW4sDvLWlHRURSvSr4zP2a64,"{'lat': 32.761837, 'lng': 34.97128290000001}",restaurant
ChIJNUeATjmlHRURxUhUy8IQX4M,"{'lat': 32.7605333, 'lng': 34.9633026}",restaurant
ChIJGTimjrWkHRURZ5R4wmzKHFA,"{'lat': 32.761987, 'lng': 34.9716558}",restaurant
ChIJa74N57WkHRUR37kvs8QBmcE,"{'lat': 32.76179260000001, 'lng': 34.97147229999999}",restaurant
ChIJDxnc0nalHRURTd8vJvO7o08,"{'lat': 32.7633838, 'lng': 34.9734115}",restaurant
ChIJ2ZPJPMK7HRURK7YFTmRbh88,"{'lat': 32.7632006, 'lng': 34.973398}",restaurant
ChIJXd0s-2SlHRURhylb2Y2A9VM,"{'lat': 32.7596276, 'lng': 34.9666998}",restaurant
ChIJs3ue9MqkHRURlBZbTu-Kj4Q,"{'lat': 32.7632681, 'lng': 34.97419319999999}",restaurant
ChIJJeWbMzmlHRURTTH33xb3U7o,"{'lat': 32.761749400000014, 'lng': 34.9730779}",restaurant
ChIJVVVVVbSkHRUR7H5EdeXAFWk,"{'lat': 32.7632344, 'lng': 34.9746154}",restaurant
ChIJRwj_lzGlHRURFNoVQc14k-0,"{'lat': 32.7546247, 'lng': 34.96836150000001}",restaurant
ChIJ7f6NNLakHRURO1ylJKIQ5K0,"{'lat': 32.7589558, 'lng': 34.9716108}",restaurant
ChIJdXVsAcqkHRURRNJo2W3GfCg,"{'lat': 32.7602272, 'lng': 34.9717559}",restaurant
ChIJS7uP48mkHRURz7PXD8txDYc,"{'lat': 32.75999879999999, 'lng': 34.9730427}",restaurant
ChIJLYB_48mkHRURJ-ho1bofq4A,"{'lat': 32.760085, 'lng': 34.9730434}",restaurant
ChIJc1bU_8mkHRURqQOyKdsF4oo,"{'lat': 32.7608008, 'lng': 34.9728637}",restaurant
ChIJcyoi3smkHRUR5sONvNhkqJk,"{'lat': 32.7578698, 'lng': 34.97316559999999}",restaurant
ChIJi6GeMRG7HRURYsgFFDTTtKg,"{'lat': 32.7611575, 'lng': 34.97288709999999}",restaurant
ChIJ_yo6_smkHRUR5zF5Mkkv8o4,"{'lat': 32.7611575, 'lng': 34.97288709999999}",restaurant
ChIJHWVgDzylHRURuuw0VYaPcOA,"{'lat': 32.7529954, 'lng': 34.96224540000001}",restaurant
ChIJ243oQ8ClHRURiL-VKC-izGg,"{'lat': 32.7607806, 'lng': 34.9735602}",restaurant
ChIJl2dHrtilHRURlw_SX6fCEgo,"{'lat': 32.75745360000001, 'lng': 34.9742131}",restaurant
ChIJTZ9RlpalHRURlI6L2bZBdNk,"{'lat': 32.7515877, 'lng': 34.9638569}",restaurant
ChIJaTKHP6KkHRUR2lnTUbRRNmw,"{'lat': 32.752311, 'lng': 34.95754499999999}",restaurant
ChIJIa8Gvuq7HRUR_8PBgzH5Dgw,"{'lat': 32.8325385, 'lng': 34.98760069999999}",restaurant
ChIJObKi5M67HRURPB_IVdLP5BI,"{'lat': 32.8275046, 'lng': 34.9868725}",restaurant
ChIJqcrz-s67HRURyslA4AqN1v0,"{'lat': 32.8276696, 'lng': 34.98708839999999}",restaurant
ChIJU1ym8M67HRURZlVAanTQ86c,"{'lat': 32.8276696, 'lng': 34.98708839999999}",restaurant
ChIJGwCK-s67HRUR3PCVfBxDj3o,"{'lat': 32.8276607, 'lng': 34.987104}",restaurant
ChIJ2ZPJPMK7HRURx4QCq17MIL4,"{'lat': 32.8277334, 'lng': 34.9872956}",restaurant
ChIJBy69It67HRURKhLWxBU1Jkc,"{'lat': 32.82700699999999, 'lng': 34.9869601}",restaurant
ChIJdd485_67HRURfZkhX3W31Lo,"{'lat': 32.8270471, 'lng': 34.9872185}",restaurant
ChIJeXN56M67HRURrpqC9peTQKI,"{'lat': 32.82705069999999, 'lng': 34.9873191}",restaurant
ChIJWwYo-Ha7HRURAXFItSHM-t8,"{'lat': 32.8269423, 'lng': 34.9874244}",restaurant
