dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,takeout,wheelchair_accessible_entrance,curbside_pickup,website,price_level,sunday_open,sunday_close,wednesday_open,wednesday_close,friday_open,friday_close,saturday_open,saturday_close,open_on_saturday,geo_location,percent of religious,socio-economic rank,store_100,store_500,rest_100,rest_500,bus_station_100,bus_station_500,type,kosher,grade
True,True,True,True,False,False,True,True,True,True,True,True,True,2.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,True,"[32.7894818, 34.9660582]",5.670457975986278,1535.0,50,142,7,34,1,12,מסעדה איטלקית,False,90.0
True,False,False,False,False,False,False,False,False,True,True,False,False,2.0,630.0,1290.0,630.0,1290.0,660.0,900.0,-1.0,-1.0,False,"[32.7895011, 34.9661757]",5.670457975986278,1535.0,46,142,5,34,1,12,,,52.498
True,False,True,True,True,True,True,True,False,True,True,True,True,2.0,480.0,1260.0,480.0,1260.0,480.0,855.0,1080.0,1350.0,True,"[32.7895846, 34.9662302]",5.670457975986278,1535.0,46,143,4,33,1,12,בתי קפה,True,76.0
True,True,True,True,False,False,True,True,False,True,True,False,True,2.0,660.0,1380.0,660.0,1380.0,660.0,1380.0,660.0,1380.0,True,"[32.7835606, 34.9643024]",5.670457975986278,802.7227171314742,1,28,3,7,0,10,מסעדת המבורגרים,False,86.0
True,False,False,False,False,False,False,True,False,True,True,False,True,2.0,600.0,1320.0,600.0,1320.0,600.0,1320.0,600.0,1320.0,True,"[32.7835344, 34.9644335]",5.670457975986278,802.7227171314742,1,28,3,7,0,10,,False,82.0
False,False,False,False,False,False,False,False,False,True,False,False,False,2.0,600.0,1320.0,600.0,1320.0,660.0,840.0,-1.0,-1.0,False,"[32.7830751, 34.964561]",5.670457975986278,802.7227171314742,1,27,3,7,0,10,,,41.0
True,True,True,False,False,False,False,True,False,True,True,False,True,1.0,540.0,960.0,540.0,1020.0,540.0,900.0,-1.0,-1.0,False,"[32.7884018, 34.9680603]",5.670457975986278,1535.0,22,132,2,31,1,13,אוכל רחוב,True,80.0
True,True,True,True,False,False,True,True,True,True,True,True,True,2.0,720.0,1380.0,720.0,1380.0,720.0,1440.0,720.0,1440.0,True,"[32.788711, 34.9682782]",5.670457975986278,1535.0,20,132,2,31,1,13,מסעדה איטלקית,False,90.0
True,True,True,False,False,False,False,True,False,True,False,False,True,1.0,570.0,1410.0,570.0,1410.0,570.0,1080.0,810.0,1440.0,True,"[32.8319034, 34.9805637]",0.0,449.849,11,56,5,33,2,26,פיצריות,False,81.612
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8346396, 34.9801792]",5.670457975986278,423.0,1,34,1,24,0,11,,False,63.051
True,False,False,False,False,False,False,True,False,True,False,False,False,1.0,600.0,1320.0,600.0,1320.0,600.0,960.0,-1.0,-1.0,False,"[32.8319268, 34.9808729]",0.0,412.5,6,59,5,33,2,24,,,93.859
True,False,False,False,False,False,False,True,False,True,False,False,False,2.0,660.0,1320.0,660.0,1320.0,720.0,990.0,1170.0,1320.0,False,"[32.8319268, 34.9808729]",0.0,412.5,6,59,5,33,2,24,אוכל רחוב,True,10.25
True,False,False,False,False,False,False,False,False,True,False,False,False,1.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8319321, 34.9810263]",0.0,412.5,5,57,5,33,2,24,מסעדת המבורגרים,False,56.218
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8288991, 34.9811166]",0.0,621.444,0,63,0,23,1,39,,,41.0
